nombre,cuil,telefono,localidad,origen,fecha_carga,telefono_norm,telefono_tipo,cuil_norm,cuil_valido,cuil_dudoso,telefono_match,id_fila,es_duplicado,duplicado_de,motivo_duplicado,en_zona,marcado,motivo_descarte,fecha_corte_usada,dias_antiguedad,frescura,motivo_frescura,puntaje,prioridad,motivo
T31 Flor Cabrera,20-31445902-5,1168442753,Castelar,referido,2026-05-01,+541168442753,ambiguo,20314459025,TRUE,FALSE,1168442753,31,TRUE,26,cuil,TRUE,FALSE,,2026-07-28,88,baja,,73,descartado,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; referido +15; duplicado +0 → descarte
T32 Gael Ibarra,20-48110022-5,1168442754,Morón,evento,10/04/2026,+541168442754,ambiguo,20481100225,TRUE,FALSE,1168442754,32,FALSE,,,TRUE,FALSE,,2026-07-28,109,fria,fecha ambigua,63,media,ambiguo +18; cuil válido +15; en zona +20; frescura fria +0; evento +10
T33 Hana Correa,27-48771033-9,1168442755,Haedo,referido,04/10/2026,+541168442755,ambiguo,27487710339,FALSE,TRUE,1168442755,33,FALSE,,,TRUE,FALSE,,2026-07-28,-68,sin dato,fecha ambigua; fecha futura,43,media,ambiguo +18; cuil inválido -10; en zona +20; frescura sin dato +0; referido +15
T34 Iker Ramos,24-49220144-4,1168442756,Castelar,campaña Meta,10-abr-26,+541168442756,ambiguo,24492201444,TRUE,FALSE,1168442756,34,FALSE,,,TRUE,FALSE,,2026-07-28,,sin dato,fecha ilegible,58,media,ambiguo +18; cuil válido +15; en zona +20; frescura sin dato +0; campaña Meta +5
T35 Julia Naveiro,20-49881255-5,1168442757,Hurlingham,referido,,+541168442757,ambiguo,20498812555,TRUE,FALSE,1168442757,35,FALSE,,,TRUE,FALSE,,2026-07-28,,sin dato,fecha vacia,68,media,ambiguo +18; cuil válido +15; en zona +20; frescura sin dato +0; referido +15
T36 Kai Ledesma,27-50110366-2,1168442758,Ituzaingó,evento,2026-13-45,+541168442758,ambiguo,27501103662,TRUE,FALSE,1168442758,36,FALSE,,,TRUE,FALSE,,2026-07-28,,sin dato,fecha ilegible,63,media,ambiguo +18; cuil válido +15; en zona +20; frescura sin dato +0; evento +10
T37 Lena Ocampo,20-50772477-9,1168442759,Morón,referido,2027-01-15,+541168442759,ambiguo,20507724779,FALSE,TRUE,1168442759,37,FALSE,,,TRUE,FALSE,,2026-07-28,-171,sin dato,fecha futura,43,media,ambiguo +18; cuil inválido -10; en zona +20; frescura sin dato +0; referido +15
T38 Mara Zabala,24-51220588-3,1168442760,Haedo,base propia,2019-03-02,+541168442760,ambiguo,24512205883,TRUE,FALSE,1168442760,38,FALSE,,,TRUE,FALSE,,2026-07-28,2705,fria,,53,media,ambiguo +18; cuil válido +15; en zona +20; frescura fria +0; base propia +0
,20-51881699-4,1168442761,Castelar,referido,2026-07-20,+541168442761,ambiguo,20518816994,TRUE,FALSE,1168442761,39,FALSE,,,TRUE,TRUE,sin nombre,2026-07-28,8,alta,,93,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; referido +15
"T40 PEREZ, JUAN",27-52110700-1,1168442762,Morón,evento,2026-07-21,+541168442762,ambiguo,27521107001,TRUE,FALSE,1168442762,40,FALSE,,,TRUE,FALSE,,2026-07-28,7,alta,,88,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; evento +10
T41   Nora   Vera  ,20-52772811-9,1168442763,Haedo,referido,2026-07-22,+541168442763,ambiguo,20527728119,TRUE,FALSE,1168442763,41,FALSE,,,TRUE,FALSE,,2026-07-28,6,alta,,93,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; referido +15
T42 Ada Lovelace,24-53220922-2,1168442764,Castelar,campaña Meta,2026-07-23,+541168442764,ambiguo,24532209222,TRUE,FALSE,1168442764,42,FALSE,,,TRUE,FALSE,,2026-07-28,5,alta,,83,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; campaña Meta +5
T42 Ada Lovelace ,24-53220922-2,1168442764,Castelar,campaña Meta,2026-07-23,+541168442764,ambiguo,24532209222,TRUE,FALSE,1168442764,43,TRUE,42,cuil+telefono,TRUE,FALSE,,2026-07-28,5,alta,,83,descartado,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; campaña Meta +5; duplicado +0 → descarte
T44 Beto Silva,20-53881033-9,sin  dato,Merlo,referido,2026-07-24,,invalido,20538810339,FALSE,TRUE,,44,FALSE,,,FALSE,TRUE,sin teléfono utilizable; fuera de zona de cobertura,2026-07-28,4,alta,,30,descartado,sin teléfono +0 → descarte; cuil inválido -10; fuera de zona +0 → descarte; frescura alta +25; referido +15
T45 Cora Iglesias,27-54110144-1,N/D,Moreno,evento,2026-07-25,,invalido,27541101441,TRUE,FALSE,,45,FALSE,,,FALSE,TRUE,sin teléfono utilizable; fuera de zona de cobertura,2026-07-28,3,alta,,50,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; evento +10
T46 Dante Ruiz,20-54772255-9,0,Castelar,referido,2026-07-26,,invalido,20547722559,TRUE,FALSE,,46,FALSE,,,TRUE,TRUE,sin teléfono utilizable,2026-07-28,2,alta,,75,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura alta +25; referido +15
T47 Eva Lopez,20-30000002-9,1168442765,Haedo,referido,2026-07-27,+541168442765,ambiguo,20300000029,FALSE,TRUE,1168442765,47,FALSE,,,TRUE,FALSE,,2026-07-28,1,alta,,68,media,ambiguo +18; cuil inválido -10; en zona +20; frescura alta +25; referido +15
T48 Fina Vera,23-31000009-4,1168442766,Morón,evento,2026-07-27,+541168442766,ambiguo,23310000094,TRUE,FALSE,1168442766,48,FALSE,,,TRUE,FALSE,,2026-07-28,1,alta,,88,alta,ambiguo +18; cuil válido +15; en zona +20; frescura alta +25; evento +10
