nombre,cuil,telefono,localidad,origen,fecha_carga,puntaje,prioridad,motivo
Joaquín Rojas,23-28680134-9,+549 11 4427-3636,Ramos Mejía,campaña Meta,2026-04-16,45,media,celular +30; cuil inválido -10; en zona +20; frescura fria +0; campaña Meta +5
Julieta López,23-43925100-9,1152234801,Morón,base propia,2026-06-21,43,media,ambiguo +18; cuil inválido -10; en zona +20; frescura media +15; base propia +0
Catalina Aguirre,20-23754507-9,1169280985,Ramos Mejía,evento,2026-05-21,43,media,ambiguo +18; cuil inválido -10; en zona +20; frescura baja +5; evento +10
Emilia Díaz,23-29763387-2,011-46245376,Hurlingham,referido,2026-07-26,85,descartado,fijo +10; cuil válido +15; en zona +20; frescura alta +25; referido +15; duplicado +0 → descarte
Delfina Herrera,20-40770515-8,112028,Ituzaingó,referido,2026-07-20,75,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura alta +25; referido +15
Delfina Herrera,20-40770515-8,112028,Ituzaingó,referido,2026-07-20,75,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura alta +25; referido +15; duplicado +0 → descarte
Tomás Rodríguez,24-36992769-4,+549 11 4454-9089,Merlo,campaña Meta,2026-07-13,75,descartado,celular +30; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; campaña Meta +5
Tomás Rodríguez,24-36992769-4,+549 11 4454-9089,Merlo,campaña Meta,2026-07-13,75,descartado,celular +30; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; campaña Meta +5; duplicado +0 → descarte
Sofía Rojas,23-42803475-9,114744,Castelar,formulario web,2026-07-23,70,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura alta +25; formulario web +10
Tomás Díaz,23-38354349-5,sin dato,Ituzaingó,formulario web,2026-07-19,70,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura alta +25; formulario web +10
Lucía Cabrera,23-37565966-2,113142,Villa Luzuriaga,formulario web,2026-07-15,70,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura alta +25; formulario web +10
Joaquín Silva,20-24888088-1,+549 11 4986-3987,Moreno,evento,2026-06-28,70,descartado,celular +30; cuil válido +15; fuera de zona +0 → descarte; frescura media +15; evento +10
Lucía Fernández,24-30208753-5,1139654626,Ituzaingó,formulario web,2026-05-22,68,descartado,ambiguo +18; cuil válido +15; en zona +20; frescura baja +5; formulario web +10; duplicado +0 → descarte
Federico Rojas,20-38458568-0,sin dato,Castelar,campaña Meta,2026-07-23,65,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura alta +25; campaña Meta +5
Catalina González,24-44400204-9,sin dato,Castelar,referido,2026-06-22,65,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; referido +15
Ignacio Sánchez,23-35750504-6,+549 11 5728-7771,Merlo,campaña Meta,2026-06-22,65,descartado,celular +30; cuil válido +15; fuera de zona +0 → descarte; frescura media +15; campaña Meta +5
Santiago Ortiz,20-28456776-6,118422,Villa Luzuriaga,referido,2026-06-18,65,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; referido +15
Lucía Pérez,20-22933362-4,114222,Hurlingham,referido,2026-06-15,65,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; referido +15
Martina Fernández,23-28264619-6,117594,Morón,referido,2026-06-13,65,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; referido +15
Martina Díaz,27-24398102-1,115249,Morón,base propia,2026-07-28,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura alta +25; base propia +0
Bautista Fernández,20-27490656-2,111968,Hurlingham,formulario web,2026-07-11,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; formulario web +10
Nicolás Acosta,27-37037325-1,118411,Ituzaingó,evento,2026-06-27,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; evento +10
Catalina Torres,23-25930949-2,sin dato,Hurlingham,formulario web,2026-06-26,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; formulario web +10
Mateo Ortiz,24-33441638-7,sin dato,Villa Luzuriaga,formulario web,2026-06-26,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; formulario web +10
Martina Martínez,27-44214756-1,112076,Morón,evento,2026-06-20,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; evento +10
Franco Pérez,27-35191954-5,sin dato,Haedo,evento,2026-06-19,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; evento +10
Franco Pérez,27-35191954-5,sin dato,Haedo,evento,2026-06-19,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; evento +10; duplicado +0 → descarte
Martina Acosta,20-21351129-8,sin dato,Morón,evento,2026-06-18,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; evento +10
Martina Juárez,23-35125555-2,115512,Castelar,formulario web,2026-06-14,60,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; formulario web +10
Lucía Álvarez,20-36630423-2,011-47237924,Villa Luzuriaga,referido,2026-04-23,60,descartado,fijo +10; cuil válido +15; en zona +20; frescura fria +0; referido +15; duplicado +0 → descarte
Ignacio Acosta,20-42089564-0,sin dato,Moreno,referido,2026-07-26,55,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; referido +15
Emilia Rodríguez,27-28258115-4,116056,Moreno,referido,2026-07-17,55,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; referido +15
Abril López,20-21652801-9,sin dato,San Justo,campaña Meta,2026-06-27,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; campaña Meta +5
Isabella Rodríguez,24-35545072-0,114644,Morón,campaña Meta,2026-06-22,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; campaña Meta +5
Lautaro Fernández,27-32836599-0,sin dato,Ramos Mejía,referido,2026-06-11,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; referido +15
Joaquín Molina,24-40562145-9,118551,San Justo,referido,2026-06-10,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; referido +15
Agustina Pérez,24-45476130-4,sin dato,San Justo,referido,2026-05-27,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; referido +15
Agustina Pérez,24-45476130-4,sin dato,San Justo,referido,2026-05-27,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; referido +15; duplicado +0 → descarte
Tomás Juárez,24-34991764-1,sindato,Villa Luzuriaga,referido,2026-05-10,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; referido +15
Tomás Juárez,24-34991764-1,sin dato,Villa Luzuriaga,referido,2026-05-10,55,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; referido +15; duplicado +0 → descarte
Federico Núñez,24-33487300-1,011-43505057,Haedo,formulario web,2026-04-27,55,descartado,fijo +10; cuil válido +15; en zona +20; frescura fria +0; formulario web +10; duplicado +0 → descarte
Bautista Aguirre,20-38944473-2,1135732540,Merlo,campaña Meta,2026-06-28,53,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura media +15; campaña Meta +5
Bautista Aguirre,20-38944473-2,1135732540,Merlo,campaña Meta,2026-06-28,53,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura media +15; campaña Meta +5; duplicado +0 → descarte
Mateo Gómez,27-22703859-9,sin dato,Castelar,referido,2026-07-27,50,descartado,sin teléfono +0 → descarte; cuil inválido -10; en zona +20; frescura alta +25; referido +15
Abril Molina,20-30612578-9,sin dato,Merlo,evento,2026-07-25,50,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; evento +10
Thiago López,20-42410885-6,111673,Merlo,formulario web,2026-07-24,50,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; formulario web +10
Gonzalo Benítez,20-45154882-5,011-49059692,Merlo,base propia,2026-07-15,50,descartado,fijo +10; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; base propia +0
Mía Medina,27-22307301-3,119137,Ramos Mejía,base propia,2026-07-12,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura media +15; base propia +0
Franco Ruiz,27-38138247-3,sin dato,Ramos Mejía,evento,2026-06-12,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; evento +10
Mateo González,23-42392719-4,+549 11 6624-7881,Moreno,base propia,2026-05-25,50,descartado,celular +30; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; base propia +0
Sofía Aguirre,27-45406468-8,sin dato,Castelar,formulario web,2026-05-23,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; formulario web +10
Sofía Torres,24-37285239-5,119103,Haedo,evento,2026-05-19,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; evento +10
Emilia Ruiz,24-39467451-2,sin dato,Haedo,formulario web,2026-05-19,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; formulario web +10
Camila Acosta,23-39105299-9,011-48672641,Morón,base propia,2026-05-18,50,descartado,fijo +10; cuil válido +15; en zona +20; frescura baja +5; base propia +0; duplicado +0 → descarte
Renata Rodríguez,23-32223206-3,+549 11 6421-5689,Moreno,base propia,2026-05-17,50,descartado,celular +30; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; base propia +0
Franco Silva,20-21279951-4,sin dato,Haedo,evento,2026-05-15,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; evento +10
Bautista Castro,27-35064276-0,117414,Ituzaingó,formulario web,2026-05-14,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; formulario web +10
Joaquín Rodríguez,20-39156684-5,113363,Haedo,evento,2026-05-13,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; evento +10
Renata Molina,27-34490034-0,sin dato,Haedo,formulario web,2026-05-11,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; formulario web +10
Bautista Rodríguez,23-33110760-3,+549 11 4696-7823,Moreno,campaña Meta,2026-04-23,50,descartado,celular +30; cuil válido +15; fuera de zona +0 → descarte; frescura fria +0; campaña Meta +5
Isabella Castro,24-45135231-4,112274,Castelar,referido,2026-04-22,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; referido +15
Abril Gómez,24-22434243-4,sin dato,Ituzaingó,referido,2026-04-16,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; referido +15
Santiago Ruiz,24-21790952-6,sin dato,Hurlingham,referido,2026-04-15,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; referido +15
Emilia Herrera,20-30672552-2,sin dato,San Justo,referido,2026-04-14,50,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; referido +15
Delfina Fernández,24-23780831-9,113172,Merlo,campaña Meta,2026-07-25,45,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; campaña Meta +5
Julieta Gómez,27-38300624-9,sin dato,Hurlingham,formulario web,2026-07-19,45,descartado,sin teléfono +0 → descarte; cuil inválido -10; en zona +20; frescura alta +25; formulario web +10
Benjamín Sánchez,23-24773673-5,111202,Moreno,campaña Meta,2026-07-15,45,descartado,sin teléfono +0 → descarte; cuil válido +15; fuera de zona +0 → descarte; frescura alta +25; campaña Meta +5
Nicolás González,20-30938145-9,112971,Villa Luzuriaga,evento,2026-07-13,45,descartado,sin teléfono +0 → descarte; cuil inválido -10; en zona +20; frescura alta +25; evento +10
Lucía González,27-23879240-7,011-48588902,Merlo,campaña Meta,2026-06-17,45,descartado,fijo +10; cuil válido +15; fuera de zona +0 → descarte; frescura media +15; campaña Meta +5
Lucía Benítez,23-30999136-2,011-49330569,Merlo,referido,2026-06-12,45,descartado,fijo +10; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; referido +15
Camila Romero,27-32808994-2,112393,Ituzaingó,campaña Meta,2026-06-11,45,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Valentina Sánchez,20-20652672-7,115103,Ramos Mejía,campaña Meta,2026-06-10,45,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Joaquín Álvarez,24-42806274-0,011-41617956,Merlo,referido,2026-05-18,45,descartado,fijo +10; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; referido +15
Facundo Álvarez,27-25656511-6,sin dato,San Justo,campaña Meta,2026-05-10,45,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura baja +5; campaña Meta +5
Victoria Núñez,23-44068463-7,118483,San Justo,evento,2026-04-21,45,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; evento +10
Lucas Castro,24-21824976-7,sin dato,Castelar,formulario web,2026-04-18,45,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; formulario web +10
Benjamín González,23-28327518-3,115569,Villa Luzuriaga,formulario web,2026-04-18,45,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; formulario web +10
Santiago González,27-40692989-8,111985,Castelar,evento,2026-04-16,45,descartado,sin teléfono +0 → descarte; cuil válido +15; en zona +20; frescura fria +0; evento +10
Martina Díaz,27-29014641-6,1135761581,Moreno,campaña Meta,2026-05-12,43,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; campaña Meta +5
Martina Díaz,27-29014641-6,1135761581,Moreno,campaña Meta,2026-05-12,43,descartado,ambiguo +18; cuil válido +15; fuera de zona +0 → descarte; frescura baja +5; campaña Meta +5; duplicado +0 → descarte
