nombre,cuil,telefono,localidad,origen,fecha_carga
Benjamín Ruiz,24-26398277-7,011-46271400,Castelar,evento,2026-07-11
Isabella Rodríguez,24-35545072-0,114644,Morón,campaña Meta,2026-06-22
Nicolás González,20-30938145-9,112971,Villa Luzuriaga,evento,2026-07-13
Agustina Medina,27-27940734-8,1132401064,Morón,base propia,2026-04-19
Abril López,20-21652801-9,sin dato,San Justo,campaña Meta,2026-06-27
Thiago Molina,24-37430078-0,+549 11 3639-6173,Hurlingham,formulario web,2026-04-11
Martina Juárez,27-23258395-4,+549 11 5403-4499,San Justo,evento,2026-05-18
Julieta López,23-43925100-9,1152234801,Morón,base propia,2026-06-21
Renata Ortiz,24-20609452-0,+549 11 4825-9193,Haedo,formulario web,2026-04-10
Mateo Ortiz,24-33441638-7,sin dato,Villa Luzuriaga,formulario web,2026-06-26
Martina Martínez,27-44214756-1,112076,Morón,evento,2026-06-20
Tomás Martínez,23-31675094-9,011-42493694,Haedo,campaña Meta,2026-05-12
Emilia Díaz,24-27922513-5,011-42433128,Ituzaingó,campaña Meta,2026-06-16
Benjamín Romero,24-28202263-6,116389,Morón,base propia,2026-05-21
Benjamín Castro,20-24052434-2,118303,Merlo,campaña Meta,2026-06-22
Martina Sánchez,24-28669041-2,011-43930897,Hurlingham,campaña Meta,2026-04-23
Thiago Núñez,20-42429725-9,011-44498735,Villa Luzuriaga,base propia,2026-05-25
Abril Gómez,24-22434243-4,sin dato,Ituzaingó,referido,2026-04-16
Tomás Juárez,24-34991764-1,sin dato,Villa Luzuriaga,referido,2026-05-10
Joaquín Molina,24-40562145-9,118551,San Justo,referido,2026-06-10
Thiago Cabrera,20-20087761-7,1133206217,Hurlingham,base propia,2026-06-13
Sofía Silva,20-39410806-6,+549 11 6898-2179,Castelar,campaña Meta,2026-05-24
Renata González,24-41572717-4,1143771745,Ramos Mejía,base propia,2026-06-15
Santiago Ruiz,23-41468442-4,+549 11 6670-3657,Morón,referido,2026-06-26
Victoria Ortiz,20-33855327-8,+549 11 6150-9253,Morón,referido,2026-04-21
Thiago López,20-42410885-6,111673,Merlo,formulario web,2026-07-24
Martina Fernández,23-28264619-6,117594,Morón,referido,2026-06-13
Facundo Torres,23-43237180-8,+549 11 6236-5577,Hurlingham,base propia,2026-07-21
Santiago González,27-40692989-8,111985,Castelar,evento,2026-04-16
Benjamín González,23-28327518-3,115569,Villa Luzuriaga,formulario web,2026-04-18
Ignacio Flores,24-25099754-6,011-42228106,San Justo,referido,2026-04-12
Gonzalo Benítez,20-45154882-5,011-49059692,Merlo,base propia,2026-07-15
Renata Gómez,27-38541999-1,1156285562,Villa Luzuriaga,base propia,2026-05-23
Julieta Díaz,24-36212898-2,011-45290651,Villa Luzuriaga,referido,2026-04-15
Isabella Fernández,24-31239758-3,+549 11 3798-2029,Hurlingham,formulario web,2026-06-20
Lucas Silva,20-22625366-2,1155408718,Haedo,formulario web,2026-06-23
Victoria Núñez,23-44068463-7,118483,San Justo,evento,2026-04-21
Santiago Núñez,27-43333949-0,011-43592955,Haedo,referido,2026-06-19
Mateo Silva,20-42002226-4,sin dato,Morón,base propia,2026-05-19
